epoch,train_loss,train_acc,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,1.316307,0.558038,0.761654,0.716037,0.623679,0.526096
2,1.048957,0.620569,1.641568,0.417773,0.644974,0.430276
3,0.91012,0.665502,0.94635,0.640449,0.71616,0.543495
4,0.713014,0.715676,0.671403,0.748723,0.77736,0.640714
5,0.69564,0.709935,0.67227,0.733401,0.7702,0.665175
6,0.596925,0.754119,1.663494,0.590398,0.663833,0.531963
7,0.612382,0.744508,0.696026,0.724208,0.769391,0.662867
8,0.474839,0.775462,0.621581,0.780388,0.766783,0.692551
9,0.541097,0.767599,0.808929,0.671093,0.757087,0.585659
10,0.49629,0.762481,0.690648,0.73953,0.779021,0.670088
11,0.424517,0.789066,0.588438,0.763023,0.777186,0.661905
12,0.439006,0.794433,0.563729,0.793667,0.752595,0.693901
13,0.347191,0.814279,0.543699,0.800817,0.770148,0.649972
14,0.377244,0.805542,0.70452,0.740552,0.798242,0.678328
15,0.338143,0.819146,0.723339,0.764045,0.746471,0.691049
16,0.290701,0.837619,0.463373,0.836568,0.809744,0.776564
17,0.322277,0.824638,0.614749,0.790603,0.756312,0.712731
18,0.361373,0.824888,0.617469,0.793667,0.787445,0.721013
19,0.298674,0.834249,0.52861,0.807967,0.783525,0.753201
20,0.332741,0.831003,0.606595,0.787538,0.772665,0.708818
21,0.327095,0.831752,0.641465,0.790603,0.773307,0.648704
22,0.386149,0.820894,0.599491,0.803882,0.767971,0.668888
23,0.225457,0.860584,0.590295,0.820225,0.778246,0.701535
24,0.277084,0.864953,0.773971,0.741573,0.747117,0.671659
25,0.249261,0.866326,0.782822,0.759959,0.79847,0.703155
26,0.286575,0.849101,0.532252,0.827375,0.751118,0.747503
