family,exp_a,exp_b,label_a,label_b,n_test,both_correct,a_only_correct,b_only_correct,both_wrong,discordant,accuracy_a,accuracy_b,better,test_variant,statistic,p_raw,p_holm_corrected,reject_at_0.05
confirmatory,E1,E2,E1 MobileNetV2 @224 / Augmentation only,E2 ResNet-50 @224 / Augmentation only,1024,738,82,78,126,160,0.800781,0.796875,E1,chi2_continuity_corrected,0.05625,0.8125242693153686,1.0,False
confirmatory,E3,E4,E3 MobileNetV2 @224 / Weighted CE,E4 ResNet-50 @224 / Weighted CE,1024,614,114,102,194,216,0.710938,0.699219,E3,chi2_continuity_corrected,0.5601851851851852,0.4541856382715065,1.0,False
confirmatory,E5,E6,E5 MobileNetV2 @224 / Random oversampling,E6 ResNet-50 @224 / Random oversampling,1024,671,143,71,139,214,0.794922,0.724609,E5,chi2_continuity_corrected,23.55607476635514,1.2132577237068428e-06,6.066288618534214e-06,True
confirmatory,E1,E3,E1 MobileNetV2 @224 / Augmentation only,E3 MobileNetV2 @224 / Weighted CE,1024,658,162,70,134,232,0.800781,0.710938,E1,chi2_continuity_corrected,35.69396551724138,2.3087807021762723e-09,1.6161464915233907e-08,True
confirmatory,E1,E5,E1 MobileNetV2 @224 / Augmentation only,E5 MobileNetV2 @224 / Random oversampling,1024,736,84,78,126,162,0.800781,0.794922,E1,chi2_continuity_corrected,0.15432098765432098,0.694439800635591,1.0,False
confirmatory,E3,E5,E3 MobileNetV2 @224 / Weighted CE,E5 MobileNetV2 @224 / Random oversampling,1024,675,53,139,157,192,0.710938,0.794922,E5,chi2_continuity_corrected,37.630208333333336,8.550990279056884e-10,6.840792223245507e-09,True
confirmatory,E2,E4,E2 ResNet-50 @224 / Augmentation only,E4 ResNet-50 @224 / Weighted CE,1024,666,150,50,158,200,0.796875,0.699219,E2,chi2_continuity_corrected,49.005,2.5531086028512793e-12,2.2977977425661514e-11,True
confirmatory,E2,E6,E2 ResNet-50 @224 / Augmentation only,E6 ResNet-50 @224 / Random oversampling,1024,683,133,59,149,192,0.796875,0.724609,E2,chi2_continuity_corrected,27.755208333333332,1.3767704755836865e-07,8.260622853502119e-07,True
confirmatory,E4,E6,E4 ResNet-50 @224 / Weighted CE,E6 ResNet-50 @224 / Random oversampling,1024,619,97,123,185,220,0.699219,0.724609,E6,chi2_continuity_corrected,2.840909090909091,0.0918922110986561,0.3675688443946244,False
exploratory,E7,E1,E7 EfficientNet-B3 @224 / Augmentation only,E1 MobileNetV2 @224 / Augmentation only,1024,746,78,74,126,152,0.804688,0.800781,E7,chi2_continuity_corrected,0.05921052631578947,0.8077481147872477,1.0,False
exploratory,E7,E2,E7 EfficientNet-B3 @224 / Augmentation only,E2 ResNet-50 @224 / Augmentation only,1024,737,87,79,121,166,0.804688,0.796875,E7,chi2_continuity_corrected,0.29518072289156627,0.5869195689340558,1.0,False
exploratory,E8,E3,E8 EfficientNet-B3 @224 / Weighted CE,E3 MobileNetV2 @224 / Weighted CE,1024,639,119,89,177,208,0.740234,0.710938,E8,chi2_continuity_corrected,4.043269230769231,0.04434783184809454,0.22173915924047272,False
exploratory,E8,E4,E8 EfficientNet-B3 @224 / Weighted CE,E4 ResNet-50 @224 / Weighted CE,1024,617,141,99,167,240,0.740234,0.699219,E8,chi2_continuity_corrected,7.004166666666666,0.008132021898881852,0.06505617519105482,False
exploratory,E9,E5,E9 EfficientNet-B3 @224 / Random oversampling,E5 MobileNetV2 @224 / Random oversampling,1024,743,81,71,129,152,0.804688,0.794922,E9,chi2_continuity_corrected,0.5328947368421053,0.4653923881242662,1.0,False
exploratory,E9,E6,E9 EfficientNet-B3 @224 / Random oversampling,E6 ResNet-50 @224 / Random oversampling,1024,680,144,62,138,206,0.804688,0.724609,E9,chi2_continuity_corrected,31.849514563106798,1.6659130192067797e-08,1.9990956230481356e-07,True
exploratory,E7,E8,E7 EfficientNet-B3 @224 / Augmentation only,E8 EfficientNet-B3 @224 / Weighted CE,1024,698,126,60,140,186,0.804688,0.740234,E7,chi2_continuity_corrected,22.71505376344086,1.878901413363525e-06,1.878901413363525e-05,True
exploratory,E7,E9,E7 EfficientNet-B3 @224 / Augmentation only,E9 EfficientNet-B3 @224 / Random oversampling,1024,742,82,82,118,164,0.804688,0.804688,E9,chi2_continuity_corrected,0.006097560975609756,0.9377589428180783,1.0,False
exploratory,E8,E9,E8 EfficientNet-B3 @224 / Weighted CE,E9 EfficientNet-B3 @224 / Random oversampling,1024,704,54,120,146,174,0.740234,0.804688,E9,chi2_continuity_corrected,24.2816091954023,8.322994186769165e-07,9.155293605446082e-06,True
exploratory,E7,E10,E7 EfficientNet-B3 @224 / Augmentation only,E10 EfficientNet-B3 @300 / Augmentation only,1024,768,56,87,113,143,0.804688,0.834961,E10,chi2_continuity_corrected,6.293706293706293,0.012116742056270812,0.08481719439389569,False
exploratory,E8,E11,E8 EfficientNet-B3 @224 / Weighted CE,E11 EfficientNet-B3 @300 / Weighted CE,1024,697,61,127,139,188,0.740234,0.804688,E11,chi2_continuity_corrected,22.47340425531915,2.1307339250539394e-06,1.9176605325485453e-05,True
exploratory,E9,E12,E9 EfficientNet-B3 @224 / Random oversampling,E12 EfficientNet-B3 @300 / Random oversampling,1024,759,65,93,107,158,0.804688,0.832031,E12,chi2_continuity_corrected,4.613924050632911,0.03171338469103498,0.1902803081462099,False
