Exp,Architecture,Input,Strategy,P (MEL),R (MEL),F1 (MEL),P (BCC),R (BCC),F1 (BCC),RQ2 score
E1,MobileNetV2,224,Augmentation only,0.48623853211009177,0.4608695652173913,0.4732142857142857,0.6785714285714286,0.7169811320754716,0.6972477064220184,0.5889253486464314
E2,ResNet-50,224,Augmentation only,0.5802469135802469,0.40869565217391307,0.47959183673469385,0.559322033898305,0.6226415094339622,0.5892857142857143,0.5156685808039376
E3,MobileNetV2,224,Weighted CE,0.3395348837209302,0.6347826086956522,0.44242424242424244,0.603448275862069,0.660377358490566,0.6306306306306306,0.6475799835931091
E4,ResNet-50,224,Weighted CE,0.38181818181818183,0.5478260869565217,0.45,0.4074074074074074,0.20754716981132076,0.275,0.3776866283839212
E5,MobileNetV2,224,Random oversampling,0.48412698412698413,0.5304347826086957,0.5062240663900415,0.6818181818181818,0.5660377358490566,0.6185567010309279,0.5482362592288761
E6,ResNet-50,224,Random oversampling,0.6666666666666666,0.1565217391304348,0.2535211267605634,0.5370370370370371,0.5471698113207547,0.5420560747663551,0.35184577522559474
E7,EfficientNet-B3,224,Augmentation only,0.4859154929577465,0.6,0.5369649805447471,0.75,0.6792452830188679,0.7128712871287128,0.6396226415094339
E8,EfficientNet-B3,224,Weighted CE,0.35384615384615387,0.4,0.37551020408163266,0.6666666666666666,0.6037735849056604,0.6336633663366337,0.5018867924528302
E9,EfficientNet-B3,224,Random oversampling,0.5032679738562091,0.6695652173913044,0.5746268656716418,0.6730769230769231,0.660377358490566,0.6666666666666666,0.6649712879409352
E10,EfficientNet-B3,300,Augmentation only,0.6274509803921569,0.5565217391304348,0.5898617511520737,0.6938775510204082,0.6415094339622641,0.6666666666666666,0.5990155865463495
E11,EfficientNet-B3,300,Weighted CE,0.4659090909090909,0.7130434782608696,0.563573883161512,0.7213114754098361,0.8301886792452831,0.7719298245614035,0.7716160787530764
E12,EfficientNet-B3,300,Random oversampling,0.5849056603773585,0.5391304347826087,0.5610859728506787,0.7948717948717948,0.5849056603773585,0.6739130434782609,0.5620180475799836
