Exp,Architecture,Input,Strategy,Epochs,Accuracy,Balanced acc,Macro F1,Macro AUC
E1,MobileNetV2,224,Augmentation only,38,0.80078125,0.6714516742291264,0.6642768923247594,0.9575200861118388
E2,ResNet-50,224,Augmentation only,46,0.796875,0.5920746467095934,0.6275807510429304,0.9462096863045255
E3,MobileNetV2,224,Weighted CE,34,0.7109375,0.7435078457227758,0.6217056011997436,0.944517894037821
E4,ResNet-50,224,Weighted CE,50,0.69921875,0.5572534618005144,0.4833859521899527,0.9293661452570261
E5,MobileNetV2,224,Random oversampling,30,0.794921875,0.7117771677129464,0.6814280910910361,0.9536577986483368
E6,ResNet-50,224,Random oversampling,16,0.724609375,0.6557183431436332,0.5274558814387936,0.9296066608874501
E7,EfficientNet-B3,224,Augmentation only,15,0.8046875,0.6373284943893172,0.6742113347999091,0.9554191818497267
E8,EfficientNet-B3,224,Weighted CE,21,0.740234375,0.6871870111996679,0.6142847808198172,0.9429274365072643
E9,EfficientNet-B3,224,Random oversampling,20,0.8046875,0.7611490037366048,0.7042811223447627,0.958443907364515
E10,EfficientNet-B3,300,Augmentation only,21,0.8349609375,0.6721107362499604,0.700415143545828,0.9624029483144644
E11,EfficientNet-B3,300,Weighted CE,26,0.8046875,0.7699129067346576,0.7375916104239432,0.9641539102921798
E12,EfficientNet-B3,300,Random oversampling,18,0.83203125,0.6952179271176107,0.7140970439342055,0.9539640802124565
