Exp,AKIEC,BCC,BKL,DF,MEL,NV,VASC
E1,0.6046511627906976,0.6972477064220184,0.6310679611650486,0.6956521739130435,0.4732142857142857,0.9052478134110787,0.6428571428571429
E2,0.5,0.5892857142857143,0.6,0.631578947368421,0.47959183673469385,0.9029535864978903,0.6896551724137931
E3,0.52,0.6306306306306306,0.5517241379310345,0.4888888888888889,0.44242424242424244,0.8359183673469388,0.8823529411764706
E4,0.35294117647058826,0.275,0.5079365079365079,0.3492063492063492,0.45,0.8560250391236307,0.5925925925925926
E5,0.6046511627906976,0.6185567010309279,0.6343612334801763,0.5384615384615384,0.5062240663900415,0.9,0.967741935483871
E6,0.43283582089552236,0.5420560747663551,0.4838709677419355,0.43636363636363634,0.2535211267605634,0.8768768768768769,0.6666666666666666
E7,0.6666666666666666,0.7128712871287128,0.5699481865284974,0.631578947368421,0.5369649805447471,0.9057971014492754,0.6956521739130435
E8,0.5045045045045045,0.6336633663366337,0.5826086956521739,0.625,0.37551020408163266,0.8690292758089369,0.7096774193548387
E9,0.6052631578947368,0.6666666666666666,0.6445497630331753,0.75,0.5746268656716418,0.9009826152683296,0.7878787878787878
E10,0.631578947368421,0.6666666666666666,0.6697674418604651,0.782608695652174,0.5898617511520737,0.9260588657573582,0.6363636363636364
E11,0.7032967032967034,0.7719298245614035,0.6467661691542289,0.7272727272727273,0.563573883161512,0.8931591083781706,0.8571428571428571
E12,0.7123287671232876,0.6739130434782609,0.663594470046083,0.6666666666666666,0.5610859728506787,0.921090387374462,0.8
